ISO639-3	Family
swb	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|G|Swahili
tam	Dravidian|Southern|Tamil-Kannada|Tamil-Kodagu|Tamil-Malayalam|Tamil
taq	Afro-Asiatic|Berber|Tamasheq|Southern|Tidikelt
tbz	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Eastern|Ndogo-Sere|Monzombo|Vere
tec	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Southern|Kalenjin|Nandi-Markweta|Nandi
tem	Niger-Congo|Atlantic-Congo|Atlantic|Southern|Mel|Temne|Temne-Banta|Southern|Jola-Kasa
teo	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Eastern|Lotuxo-Teso|Teso-Turkana|Teso
thk	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Kikuyu-Kamba
tig	Afro-Asiatic|Semitic|South|Ethiopian|North|Mandaic|Northwestern|West
tik	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Tikar|Northwest|C|Tetela
tir	Afro-Asiatic|Semitic|South|Ethiopian|North|Mandaic|Northwestern|West
tiv	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Tivoid|Northwest|C|Tetela
tnr	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Eastern Senegal-Guinea|Tenda|Jola Proper|Kwatay|Jola-Kasa
toi	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|M|Lenje-Tonga
tsn	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Sotho-Tswana
tso	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Tswa-Rhonga
tum	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|N|Tumbuka
tuv	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Eastern|Lotuxo-Teso|Teso-Turkana|Turkana
tuy	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Southern|Kalenjin|Nandi-Markweta|Nandi
tvs	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Nyika-Taita
uld	Afro-Asiatic|Chadic|Biu–Mandara|Wandala–Mafa|Mafa (A.5)|South (a)|Wuzlam
urh	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Edoid|Southwestern|Southern|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
vai	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Vai-Kono|Mokole|Manding-West|Southeastern Manding|Maninka-Mori
ven	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Venda
vif	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|H|Kikongo
wlc	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|G|Swahili
wof	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Senegambian|Fula-Wolof|Wolof|Western|Jola-Kasa
wol	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Senegambian|Fula-Wolof|Wolof|Western|Jola-Kasa
xho	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Nguni
xnz	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Northern|Nubian|Central
xog	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Nyoro-Ganda
xon	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Gurma|Ndogo-Sere|Monzombo|Vere
xsm	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Southern|Grusi|Northern|Southeast|Dagaari-Birifor|Dagaari
yal	Niger-Congo|Mande|Western|Central-Southwestern|Central|Susu-Yalunka|Manding-Vai|Vai-Kono|Mokole|Manding-West|Southeastern Manding|Maninka-Mori
yao	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|P|Yao
yey	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|R|Yeyi
yky	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Ubangi|Ngbandi|Southwest|Western|Togbo-Vara|Vere-Gimme|Vere
yor	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Defoid|Yoruboid|Edekiri|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
zag	Nilo-Saharan|Saharan|Eastern
zdj	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|G|Swahili
zne	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Ubangi|Zande|Zande-Nzakara|Sere-Bviri|Ndogo-Sere|Monzombo|Vere
zul	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Nguni
