defined_class	defined_class_label	population_size	wiki	parent_class_label
AfPO:0000332	San	0.1 million	https://en.wikipedia.org/wiki/San_people	Southern African
AfPO:0000513	Nara@en	108000	https://en.wikipedia.org/wiki/Nara_people	Nilotic Eastern
AfPO:0000085	Taita	0.34 millions	https://en.wikipedia.org/wiki/Taita_people	Bantu Eastern
AfPO:0000484	Wuzlam@en			Central African
AfPO:0000115	Fur	1 million	https://en.wikipedia.org/wiki/Fur_people	Nilotic Eastern
AfPO:0000300	Ovimbundu	4.6 milions	https://en.wikipedia.org/wiki/Ovimbundu	Bantu Central
AfPO:0000388	Sidama	>3 millions	https://en.wikipedia.org/wiki/Sidama_people	Cushitic Eastern
AfPO:0000462	Eshira@en	74000	https://en.wikipedia.org/wiki/Shira_people	Bantu Central
AfPO:0000288	Kwatay			Western African
AfPO:0000562	Temne@en	2,225 Millions	https://en.wikipedia.org/wiki/Temne_people	Western African
AfPO:0000199	Kalenjin	3 millions	https://en.wikipedia.org/wiki/Kalenjin_people	Nilotic Eastern
AfPO:0000492	Nkole@en	4,436 Millions	https://en.wikipedia.org/wiki/Nkole_people	Bantu Eastern
AfPO:0000500	Hadiya@en	2 million	https://en.wikipedia.org/wiki/Hadiya_people	Cushitic Eastern
AfPO:0000142	Tswana	15 millions	https://en.wikipedia.org/wiki/Tswana_people	Bantu Southern
AfPO:0000363	Tunisian Andalusian			Andalusian
AfPO:0000433	Kassena	0.161 millions	https://en.wikipedia.org/wiki/Kassena	Gurunsi
AfPO:0000258	Cafre		https://en.wikipedia.org/wiki/Cafres	Eastern African
AfPO:0000251	Betsileo	4.359 millions	https://en.wikipedia.org/wiki/Betsileo_people	Malagasy
AfPO:0000525	Bamum@en	659000	https://en.wikipedia.org/wiki/Bamum_people	Western African
AfPO:0000503	Antambahoaka@en	50000	https://en.wikipedia.org/wiki/Antambahoaka	Malagasy
AfPO:0000326	Bantu Southern		https://en.wikipedia.org/wiki/Bantu_peoples	Southern African
AfPO:0000194	Banda	1.5 millions	https://en.wikipedia.org/wiki/Banda_people	Ubangi Central
AfPO:0000564	Nuna@en		https://en.wikipedia.org/wiki/Nuna_people	Gurunsi
AfPO:0000064	Susu	2.2 millions	https://en.wikipedia.org/wiki/Susu_people	Mande Western
AfPO:0000467	Nande@en	2.355 millions	https://fr.wikipedia.org/wiki/Nande_(peuple)	Bantu Central
AfPO:0000347	Pedi	4.7 millions	https://en.wikipedia.org/wiki/Pedi_people	Sotho
AfPO:0000359	Algerian Berber			Berber Northern
AfPO:0000416	Dogon	1.591 millions	https://en.wikipedia.org/wiki/Dogon_people	Western African
AfPO:0000080	Masalit		https://en.wikipedia.org/wiki/Masalit_people	Nilotic Central, Eastern African
AfPO:0000238	Yao	> 2 millions	https://en.wikipedia.org/wiki/Yao_people_(East_Africa)	Bantu Eastern
AfPO:0000190	Nubian Eastern	1.7 million	https://en.wikipedia.org/wiki/Nubians	Nilotic Eastern
AfPO:0000131	Mossi	7.6 millions	https://en.wikipedia.org/wiki/Mossi_people	Gurma
AfPO:0000116	Xhosa	7.9 millions	https://en.wikipedia.org/wiki/Xhosa_people	Nguni
AfPO:0000536	Konkomba@en	950000	https://en.wikipedia.org/wiki/Konkomba_people	Gurma
AfPO:0000413	Biafada	0.04	https://en.wikipedia.org/wiki/Biafada_people	Western African
AfPO:0000201	Senufo	2 millions	https://en.wikipedia.org/wiki/Senufo_people	Western African
AfPO:0000463	Hema@en	215000	https://en.wikipedia.org/wiki/Hema_people	Bantu Central
AfPO:0000485	Yakoma@en	177000	https://en.wikipedia.org/wiki/Yakoma_people	Central African
AfPO:0000478	Mbum@en	165000		Central African
AfPO:0000241	Bongo	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|West|Bongo-Bagirmi|Bongo-Baka|Bongo|Kacipo-Balesi|Tennet|Luo|Lango-Acholi	https://en.wikipedia.org/wiki/Bongo_people_(South_Sudan)	Sudanic
AfPO:0000329	Goffel	0.03 millions	https://en.wikipedia.org/wiki/Goffal	Southern African
AfPO:0000357	Copt	20 millions	https://en.wikipedia.org/wiki/Copts	Eastern African, Northern African
AfPO:0000520	Aghem@en	61500		Western African
AfPO:0000270	Nilotic Western			Western African
AfPO:0000200	Pygmy Southern		https://en.wikipedia.org/wiki/Pygmy_peoples	Southern African
AfPO:0000549	Limba@en	792190	https://en.wikipedia.org/wiki/Limba_people_(Sierra_Leone)	Western African
AfPO:0000579	<http://purl.obolibrary.org/obo/afpo.owl#Kuria>	1 million	https://en.wikipedia.org/wiki/Kuria_people	Bantu Eastern
AfPO:0000141	Soninke	2 millions	https://en.wikipedia.org/wiki/Soninke_people	Mande Western
AfPO:0000517	Okavango@en		https://en.wikipedia.org/wiki/Kavango_people	Bantu Southern
AfPO:0000354	Kgatla		https://fr.wikipedia.org/wiki/Kgatla_(peuple)	Tswana
AfPO:0000576	Maore	217,400		Swahili
AfPO:0000470	Pende@en	250000	https://en.wikipedia.org/wiki/Pende_people	Bantu Central
AfPO:0000098	Nandi	937,884	https://en.wikipedia.org/wiki/Nandi_people	Kalenjin
AfPO:0000403	Ganda	6.7 millions	https://en.wikipedia.org/wiki/Ganda_people	Bantu Eastern
AfPO:0000427	Urhobo	2 millions	https://en.wikipedia.org/wiki/Urhobo_people	Western African
AfPO:0000522	Fante@en	2 millions	https://en.wikipedia.org/wiki/Fante_people	Akan
AfPO:0000136	Ga-Adangbe	2 millions	https://en.wikipedia.org/wiki/Ga-Adangbe_people	Western African
AfPO:0000237	Lomwe		https://en.wikipedia.org/wiki/Lomwe_people	Bantu Southern
AfPO:0000547	Grebo@en	387000	https://en.wikipedia.org/wiki/Grebo_people	Kru
AfPO:0000266	Bangba	0.011 million		Ubangi Central
AfPO:0000443	Kru	6.8 millions	https://en.wikipedia.org/wiki/Kru_people	Pygmy Central, Western African
AfPO:0000335	Banareng	Niger–Congo, Bantu	https://en.wikipedia.org/wiki/List_of_Sotho-Tswana_clans	Bantu Southern
AfPO:0000577	Mwali	45,000		Swahili
AfPO:0000227	Serer	1.9 millions	https://en.wikipedia.org/wiki/Serer_people	Western African
AfPO:0000253	Merina	> 5 millions	https://en.wikipedia.org/wiki/Merina_people	Malagasy
AfPO:0000343	Sotho	7.130 millions	https://en.wikipedia.org/wiki/Sotho_people	Bantu Southern
AfPO:0000107	Zaghawa	0.4 million	https://en.wikipedia.org/wiki/Zaghawa_people	Nilotic Central, Nilotic Eastern, Northern African
AfPO:0000348	Kalanga	0.75 million	https://en.wikipedia.org/wiki/Kalanga_people	Shona
AfPO:0000330	French diaspora		https://en.wikipedia.org/wiki/French_diaspora	Eastern African, Southern African
AfPO:0000516	Aushi@en	433000		Bemba
AfPO:0000303	Ngbandi	0.122 million	https://en.wikipedia.org/wiki/Ngbandi_people	Ubangi Central
AfPO:0000105	Yoruba	45 millions	https://en.wikipedia.org/wiki/Yoruba_people	Western African
AfPO:0000365	Egyptian	85 millions	https://en.wikipedia.org/wiki/Egyptians	Semite Northern
AfPO:0000268	Mayogo		https://en.wikipedia.org/wiki/Mayogo_people	Ubangi Central
AfPO:0000575	Ngazidja	416,200		Swahili
AfPO:0000438	Tutsi	3 millions	https://en.wikipedia.org/wiki/Tutsi	Banyarwanda, Southern African
AfPO:0000379	Shilluk	1.5 million	https://en.wikipedia.org/wiki/Shilluk_people	Luo
AfPO:0000572	Ewondo	2500000	https://fr.wikipedia.org/wiki/Ewondo_(peuple)	Beti-Pahuin
AfPO:0000259	Malbar	0.18 million	https://en.wikipedia.org/wiki/Malbars	Eastern African
AfPO:0000291	Chokwe	1.1 million	https://en.wikipedia.org/wiki/Chokwe_people	Bantu Central
AfPO:0000213	Messiria		https://en.wikipedia.org/wiki/Messiria_tribe	Baggara
AfPO:0000338	Lemba	0.05 million	https://en.wikipedia.org/wiki/Lemba_people	Bantu Southern
AfPO:0000501	Borana@en	1025000	https://en.wikipedia.org/wiki/Boorana	Oromo
AfPO:0000289	Kanembu	0.655 millions	https://en.wikipedia.org/wiki/Kanembu_people	Kanuri
AfPO:0000395	Sudanese Arab	28 millions	https://en.wikipedia.org/wiki/Sudanese_Arabs	Semitic Eastern
AfPO:0000220	Sahrawi	0.57 million	https://en.wikipedia.org/wiki/Sahrawi_people	Berber Northern
AfPO:0000187	Pygmy Eastern		https://en.wikipedia.org/wiki/Pygmy_peoples	Eastern African
AfPO:0000256	Antandroy	0.6 million	https://en.wikipedia.org/wiki/Antandroy	Malagasy
AfPO:0000361	Moroccan Berber			Berber Northern
AfPO:0000554	Loko@en	165692		Mande Western
AfPO:0000277	Western African			Population
AfPO:0000349	Nambya	0.1 million	https://en.wikipedia.org/wiki/Nambya	Shona
AfPO:0000254	Bara	0.52 million	https://en.wikipedia.org/wiki/Bara_people	Malagasy
AfPO:0000469	Obamba@en		https://en.wikipedia.org/wiki/Mbama_people	Bantu Central
AfPO:0000434	Zarma	>5 millions	https://en.wikipedia.org/wiki/Zarma_people	Songhai
AfPO:0000410	Adele	0.05 million	https://en.wikipedia.org/wiki/Adele_people	Western African
AfPO:0000375	Kwama	Nilo-Saharan	https://en.wikipedia.org/wiki/Kwama_people	Nilotic Eastern
AfPO:0000185	Semite Northern		https://en.wikipedia.org/wiki/Semitic_people	Northern African
AfPO:0000550	Jakhanke@en	115200	https://en.wikipedia.org/wiki/Jakhanke	Mande Western
AfPO:0000149	Frafra	0.3 millions	https://en.wikipedia.org/wiki/Frafra_people	Gurunsi
AfPO:0000477	Marba@en	228000	https://fr.wikipedia.org/wiki/Marba_(peuple)	Central African
AfPO:0000121	Minianka	0.74 million	https://fr.wikipedia.org/wiki/Minianka_(peuple)	Senufo
AfPO:0000387	Saho	0.2 million	https://en.wikipedia.org/wiki/Saho_people	Cushitic Eastern
AfPO:0000074	Bambara	14 millions	https://en.wikipedia.org/wiki/Bambara_people	Mande Western
AfPO:0000339	Makua	4.037 Millions	https://en.wikipedia.org/wiki/Makua_people	Bantu Southern
AfPO:0000552	Kpelle@en	2 millions	https://en.wikipedia.org/wiki/Kpelle_people	Mande Western
AfPO:0000287	Twa	0.04 million	https://en.wikipedia.org/wiki/Twa	Pygmy Eastern, Pygmy Southern, Banyarwanda, Pygmy Central
AfPO:0000423	Ibibio	9.6 millions	https://en.wikipedia.org/wiki/Ibibio_language	Western African
AfPO:0000494	Pokomo@en	112075	https://en.wikipedia.org/wiki/Pokomo_people	Bantu Eastern
AfPO:0000342	Shona	10.6 millions	https://en.wikipedia.org/wiki/Shona_people	Bantu Southern, Bantu Eastern
AfPO:0000518	Lozi@en	3,575 Millions	https://en.wikipedia.org/wiki/Lozi_people	Sotho
AfPO:0000534	Guan@en	1 million	https://en.wikipedia.org/wiki/Guang_people	Western African
AfPO:0000394	Rashaida	0.2 millions	https://en.wikipedia.org/wiki/Rashaida_people	Semitic Eastern
AfPO:0000539	Pana@en	19700		Gurma
AfPO:0000437	Hutu	16 millions	https://en.wikipedia.org/wiki/Hutu	Banyarwanda
AfPO:0000420	Esan	1.5 millions	https://en.wikipedia.org/wiki/Esan_people	Western African
AfPO:0000531	Ditammari@en		https://en.wikipedia.org/wiki/Tammari_people	Western African
AfPO:0000404	Kisii	2.2 millions	https://en.wikipedia.org/wiki/Kisii_people	Bantu Eastern
AfPO:0000409	Tumbuka	1.546 millions	https://en.wikipedia.org/wiki/Tumbuka_people	Bantu Eastern
AfPO:0000255	Vezo	0.0012 million	https://en.wikipedia.org/wiki/Vezo_people	Malagasy
AfPO:0000211	Gaaliin	4 millions	https://en.wikipedia.org/wiki/Ja%27alin_tribe	Eastern African
AfPO:0000273	Bantu Central		https://en.wikipedia.org/wiki/Bantu_peoples	Central African
AfPO:0000481	Gyele@en	5500	https://en.wikipedia.org/wiki/Gyele_people	Pygmy Central
AfPO:0000148	Kusasi		https://en.wikipedia.org/wiki/Kusasi_people	Gurunsi
AfPO:0000432	Mende	2 millions	https://en.wikipedia.org/wiki/Mende_people	Mande Western
AfPO:0000473	Vili@en	100000	https://en.wikipedia.org/wiki/Vili_people	Bantu Central
AfPO:0000356	Berber Northern	38 millions	https://en.wikipedia.org/wiki/Berbers	Northern African
AfPO:0000381	Dongolese		https://en.wikipedia.org/wiki/Danagla	Nubian Eastern
AfPO:0000533	Gola@en	304000	https://en.wikipedia.org/wiki/Gola_people	Western African
